road_segment,datetime,average_speed
7,2019-12-18 05:00:36,29.2
7,2019-12-23 05:01:31,28.4
7,2019-12-23 05:02:31,26.3
7,2019-12-07 05:02:48,33.0
7,2019-12-18 05:05:15,29.8
7,2019-12-22 05:06:34,34.3
7,2019-12-02 05:08:37,26.4
7,2019-12-30 05:08:46,27.2
7,2019-12-29 05:12:59,28.0
7,2019-12-12 05:14:11,28.6
7,2019-12-27 05:15:03,32.3
7,2019-12-31 05:15:14,29.9
7,2019-12-29 05:16:05,29.5
7,2019-12-18 05:18:50,27.6
7,2019-12-25 05:20:38,29.6
7,2019-12-31 05:22:42,30.3
7,2019-12-31 05:23:37,22.4
7,2019-12-25 05:24:46,33.9
7,2019-12-13 05:30:53,28.8
7,2019-12-12 05:31:16,30.0
7,2019-12-03 05:32:08,32.6
7,2019-12-30 05:34:39,33.4
7,2019-12-03 05:35:28,33.1
7,2019-12-31 05:37:27,36.2
7,2019-12-04 05:39:21,33.0
7,2019-12-30 05:41:11,29.7
7,2019-12-04 05:42:19,28.9
7,2019-12-26 05:43:40,26.7
7,2019-12-20 05:44:20,29.9
7,2019-12-07 05:47:23,36.3
7,2019-12-09 05:48:31,35.4
7,2019-12-09 05:48:35,30.1
7,2019-12-02 05:53:09,33.5
7,2019-12-21 05:54:03,30.7
7,2019-12-06 05:57:13,28.6
7,2019-12-11 05:57:53,25.2
7,2019-12-08 05:59:19,28.5
7,2019-12-11 06:01:34,25.5
7,2019-12-23 06:03:36,29.4
7,2019-12-23 06:03:43,34.7
7,2019-12-03 06:08:56,29.4
7,2019-12-27 06:10:10,30.6
7,2019-12-13 06:11:43,36.7
7,2019-12-17 06:12:06,34.8
7,2019-12-01 06:12:09,28.1
7,2019-12-06 06:12:39,29.4
7,2019-12-25 06:13:21,28.0
7,2019-12-23 06:13:23,35.3
7,2019-12-24 06:13:24,27.0
7,2019-12-23 06:14:08,29.0
7,2019-12-17 06:14:47,30.1
7,2019-12-12 06:15:31,30.8
7,2019-12-23 06:15:59,33.5
7,2019-12-24 06:16:11,27.4
7,2019-12-31 06:16:12,30.4
7,2019-12-22 06:17:03,31.3
7,2019-12-11 06:17:15,31.1
7,2019-12-02 06:17:31,30.8
7,2019-12-29 06:19:31,28.9
7,2019-12-02 06:20:41,36.3
7,2019-12-04 06:21:15,25.1
7,2019-12-10 06:21:37,28.5
7,2019-12-30 06:22:16,39.9
7,2019-12-31 06:22:31,26.2
7,2019-12-12 06:22:41,30.8
7,2019-12-03 06:23:12,28.5
7,2019-12-25 06:24:08,30.2
7,2019-12-18 06:24:28,28.3
7,2019-12-15 06:24:48,28.9
7,2019-12-08 06:24:56,26.3
7,2019-12-25 06:25:28,30.9
7,2019-12-21 06:27:52,28.9
7,2019-12-13 06:28:05,27.5
7,2019-12-15 06:28:23,28.2
7,2019-12-20 06:28:48,27.6
7,2019-12-16 06:29:38,30.5
7,2019-12-20 06:31:05,20.8
7,2019-12-13 06:31:44,25.5
7,2019-12-19 06:35:09,23.3
7,2019-12-16 06:41:57,25.6
7,2019-12-06 06:46:27,25.4
7,2019-12-05 06:52:26,25.7
7,2019-12-29 06:52:26,24.8
7,2019-12-29 06:55:19,27.6
7,2019-12-31 06:56:20,25.8
7,2019-12-15 06:59:22,31.0
7,2019-12-21 06:59:40,28.2
7,2019-12-17 07:00:57,21.5
7,2019-12-12 07:01:41,26.5
7,2019-12-01 07:02:36,26.7
7,2019-12-11 07:08:33,18.9
7,2019-12-17 07:09:33,25.4
7,2019-12-20 07:14:10,21.2
7,2019-12-09 07:14:22,24.0
7,2019-12-06 07:17:28,21.0
7,2019-12-05 07:18:44,22.2
7,2019-12-30 07:19:51,18.4
7,2019-12-14 07:21:43,25.2
7,2019-12-29 07:22:07,20.8
7,2019-12-11 07:25:57,21.5
7,2019-12-31 07:27:47,16.4
7,2019-12-13 07:27:54,19.8
7,2019-12-15 07:28:34,25.2
7,2019-12-21 07:33:39,31.2
7,2019-12-28 07:34:26,23.6
7,2019-12-17 07:35:55,22.2
7,2019-12-09 07:38:39,26.7
7,2019-12-08 07:39:02,18.3
7,2019-12-30 07:40:27,18.4
7,2019-12-11 07:42:00,20.6
7,2019-12-24 07:43:20,18.8
7,2019-12-07 07:44:08,22.8
7,2019-12-26 07:48:56,18.8
7,2019-12-16 07:51:46,21.5
7,2019-12-22 07:53:30,22.6
7,2019-12-25 07:54:54,25.5
7,2019-12-08 07:55:31,27.9
